AGLOMERADO,NOMAGLO,AGLOMERADO_,TOTAL
0,Fuera de Aglom,0,14465292
0,Fuera de Aglom,4,1915
0,Fuera de Aglom,6,393
0,Fuera de Aglom,10,1244
0,Fuera de Aglom,14,2963
0,Fuera de Aglom,17,69370
0,Fuera de Aglom,27,1243
0,Fuera de Aglom,30,37
0,Fuera de Aglom,32,1345
0,Fuera de Aglom,34,10152
0,Fuera de Aglom,93,441
2,Gran La Plata,0,3695
2,Gran La Plata,2,787894
2,Gran La Plata,33,2503
3,Bahia Blanca - Cerri,0,6745
3,Bahia Blanca - Cerri,3,291741
4,Gran Rosario,0,17660
4,Gran Rosario,4,1217216
5,Gran Santa Fe,0,17633
5,Gran Santa Fe,5,473283
6,Gran Paraná,6,263756
7,Posadas,0,27479
7,Posadas,7,293505
8,Gran Resistencia,8,385726
9,Comodoro Rivadavia - Rada Tilly,0,22614
9,Comodoro Rivadavia - Rada Tilly,9,161680
10,Gran Mendoza,0,4446
10,Gran Mendoza,10,934447
12,Corrientes,12,347057
13,Gran Córdoba,0,5629
13,Gran Córdoba,13,1456396
14,Concordia,14,148552
15,Formosa,0,1212
15,Formosa,15,222309
17,Neuquén - Plottier,0,1034
17,Neuquén - Plottier,17,264321
18,Santiago del Estero - La Banda,0,1295
18,Santiago del Estero - La Banda,18,360923
19,Jujuy - Palpalá,0,706
19,Jujuy - Palpalá,19,310623
20,Rio Gallegos,20,95796
22,Gran Catamarca,0,21450
22,Gran Catamarca,22,173891
23,Salta,23,552425
25,La Rioja,0,2266
25,La Rioja,25,177807
26,San Luis - El Chorrillo,0,13182
26,San Luis - El Chorrillo,26,182414
27,Gran San Juan,0,75287
27,Gran San Juan,27,412183
29,Gran Tucumán - Tafi Viejo,0,25669
29,Gran Tucumán - Tafi Viejo,29,814235
30,Santa Rosa - Toay,0,171
30,Santa Rosa - Toay,30,114592
31,Ushuaia - Rio Grande,0,15907
31,Ushuaia - Rio Grande,31,107161
32,CABA,0,1222
32,CABA,32,2889101
33,Partidos del GBA,0,69925
33,Partidos del GBA,33,10643985
34,Mar del Plata - Batán,0,52
34,Mar del Plata - Batán,34,593296
36,Rio Cuarto,0,612
36,Rio Cuarto,36,162695
38,San Nicolas - Villa Constitución,0,386
38,San Nicolas - Villa Constitución,38,181810
91,Rawson - Trelew,0,6984
91,Rawson - Trelew,91,122322
93,Viedma - Carmen de Patagones,93,72881
