,"Indigencia_P","Pobreza_P"
"2016S2",6.1,30.3
"2017S1",6.2,28.6
"2017S2",4.8,25.7
"2018S1",4.9,27.3
"2018S2",6.7,32
"2019S1",7.7,35.4
"2019S2",8,35.5
"2020S1",10.5,40.9
"2020S2",10.5,42
"2021S1",10.7,40.6
"2021S2",8.2,37.3
